1,5987
2,5484
3,14
4,7390
5,5914
6,7478
7,8458
8,7306
9,7441
10,6497
11,7386
12,12444
13,6588
14,9073
15,9411
16,7370
17,6982
18,6407
19,7165
20,8258
21,6722
22,6815
23,7600
24,14735
25,7064
26,6953
27,8320
28,9265
29,19456
30,7247
31,7200
32,7134
33,6903
34,6903
35,5484
36,6901
37,11124
38,8180
39,6029
40,7037
42,10190
43,9768
44,10217
45,10239
46,3923
47,4846
48,5674
49,4784
50,6386
51,8513
52,8878
53,6432
54,3972
55,5875
56,7103
57,10346
58,6191
60,12901
61,4473
62,5055
63,5062
64,5034
65,3943
66,19407
67,8595
68,7000
69,4953
70,5724
71,6264
72,5355
73,5683
74,5690
75,67133
76,7446
77,5916
78,5630
79,6095
80,6095
81,5731
82,9009
83,4719
84,4768
85,9029
86,5610
87,6757
88,5544
89,5166
90,5559
91,5898
92,6338
93,5489
94,5354
95,5971
96,5560
97,5286
98,5853
99,5297
100,6032
101,7327
102,14983
103,29478
104,18882
105,9657
106,15138
107,9451
108,27484
109,6435
110,9911
111,9075
112,9811
113,9721
114,45678
115,22726
116,13064
117,7290
118,7803
119,7587
120,9832
121,19112
122,9464
123,9464
124,9493
125,9270
126,9371
127,9434
128,9485
129,9309
130,9430
131,18312
132,15312
133,6432
134,13323
135,7283
136,13106
137,7379
138,19953
139,6290
140,6162
141,6214
142,6482
143,6347
144,6210
145,6018
146,6357
147,6080
148,6746
149,7265
150,7542
151,7145
152,7694
153,7261
154,2411
155,4358
156,3456
157,4854
158,4889
159,4867
160,4880
161,4794
162,4884
163,4817
164,4928
165,4775
166,5288
167,6508
168,8104
169,12422
170,15450
171,11509
172,6291
173,5778
174,5893
175,5292
176,4421
177,12438
178,7286
179,10015
180,8339
181,9539
182,13394
183,6461
184,9690
185,12059
186,7923
187,5683
188,14300
190,7249
191,8965
192,4969
193,3930
194,4841
195,4957
196,6082
197,6196
200,9101
201,4613
202,18129
203,6657
204,9794
205,5059
206,7471
207,7042
208,7449
209,7590
210,6411
211,7464
212,7665
213,10429
214,7337
215,8594
216,7118
217,20001
218,6631
219,8996
220,6669
221,7451
222,8457
224,17407
225,7120
226,7408
227,8479
228,5835
229,5432
230,8778
231,8639
232,5963
233,8318
234,7088
235,6416
236,5701
237,6490
238,8192
239,5801
240,11283
241,11331
242,10886
243,9787
244,5052
245,16503
246,6889
247,7911
248,5126
249,14625
250,6762
251,6231
252,8228
253,4749
254,4952
255,9272
256,5069
257,6889
258,10305
259,7325
260,7740
261,7359
262,7496
263,8714
264,9763
265,6515
266,8089
267,5525
268,7119
269,6441
270,7293
271,7503
272,5725
273,5768
274,4720
275,4900
276,5478
277,5682
278,4974
279,5462
280,5490
281,5868
282,5315
283,4410
284,5657
285,5089
286,5327
287,11598
